문법,번호,한국어,영어
과거진행형,6,일찍 일어났는데 아름다운 아침이었죠. 햇살이 비치고 새들이 지저귀고 있었어.,I woke up early. It was a beautiful morning. The sun was shining and the birds were singing.
과거진행형,7,"A: 어제 아침에 뭐 했어?
B: 테니스를 쳤어.","A: What did you do yesterday morning?
B: We played tennis."
과거진행형,8,"A: 9시 30분에 뭐 하고 있었어?
B: 테니스를 치고 있었어.","A: What were you doing at 9:30?
B: We were playing tennis."
과거진행형,9,잭은 어제 책을 읽었어.,Jack read a book yesterday.
과거진행형,10,잭이 책을 읽고 있을 때 전화가 울렸어.,Jack was reading when his phone rang.
과거진행형,11,어젯밤에 TV로 경기 봤어?,Did you watch the game on TV last night?
과거진행형,12,내가 너한테 전화했을 때 TV 보고 있었어.,You were watching TV when I called.
과거진행형,13,나는 9시에 일을 시작해서 4시 30분에 끝냈어. 2시 30분엔 일하고 있었어.,I started work at 9:00 and finished at 4:30. At 2:30 I was working.
과거진행형,14,우리가 나갔을 때 비가 오고 있었어.,It was raining when we went out.
과거진행형,15,오늘 아침에 에밀리와 샘을 봤어. 그들은 버스 정류장에서 기다리고 있었어.,I saw Emily and Sam this morning. They were waiting at the bus stop.
과거진행형,16,그레이스는 책을 읽다가 잠이 들었어.,Grace fell asleep while she was reading.
일반동사 (과거),1,나 오늘 아침에 이빨 닦았어.,This morning I brushed my teeth.
일반동사 (과거),2,토니는 2005년부터 2011년까지 은행에서 일했어.,Tony worked in a bank from 2005 to 2011.
일반동사 (과거),3,어제 아침 내내 비가 왔고 점심 때 그쳤어요.,Yesterday it rained all morning. It stopped at lunchtime.
일반동사 (과거),4,우리는 지난 밤 파티를 즐겼어요. 춤도 많이 추고 사람들과 얘기 나눴고 자정에 끝났어요.,We enjoyed the party last night. We danced a lot and talked to people. The party ended at midnight.
일반동사 (과거),5,나는 주로 일찍 일어나지만 오늘 아침에는 9시 30분에 일어났어요.,"I usually get up early, but this morning I got up at 9:30."
일반동사 (과거),6,메간은 지난주에 영화관에 세 번이나 갔어요.,Megan went to the movies three times last week.
일반동사 (과거),7,제임스는 방으로 들어와 코트를 벗고 앉았어.,"James came into the room, took off his coat, and sat down."
일반동사 (과거),8,어제 테니스를 쳤는데 이기진 못했어요.,"I played tennis yesterday, but I didn't win."
일반동사 (과거),9,우리는 좋은 식당에 갔지만 식사를 즐기진 못했어.,"We went to a nice restaurant, but we didn't enjoy the meal."
일반동사 (과거),10,"A: 숙제 했니?
B: 아니요. 시간이 없었어요.","A: Did you do your homework?
B: No, I didn't have time."
일반동사 (과거),11,"A: 어제 조를 봤니?
B: 아니요.","A: Did you see Joe yesterday?
B: No, I didn't."
일반동사 (과거),12,"A: 일요일에 비가 왔나요?
B: 네, 왔어요.","A: Did it rain on Sunday?
B: Yes, it did."
현재완료,1,"A: 멕시코시티에 가본 적 있나요?
B: 네, 가봤어요. 여러 번.","A: Have you been to Mexico City?
B: Yes, I have. Many times."
현재완료,2,"A: 일본에 가본 적이 있나요?
B: 아니요, 한 번도 안 가봤어요.","A: Have you ever been to Japan?
B: No, I've never been."
현재완료,3,"A: 프랑스에 가봤나요?
B: 아니요, 안 가봤어요.","A: Have you been to France?
B: No, I haven't."
현재완료,4,"저희는 캐나다에 가봤지만, 알래스카에 간 적이 없어요.","We've been to Canada, but we haven't been to Alaska."
현재완료,5,메리는 흥미로운 사람이에요. 여러 가지 일을 해봤고 아주 다양한 곳에서 살았거든요.,Mary is an interesting person. She has had many different jobs and has lived in many places.
현재완료,6,"저 여자를 전에 본 적이 있는데, 어디였는지 기억이 안 나네요.","I've seen that woman before, but I can't remember where."
현재완료,7,"A: 미셸이 호주에 가본 적이 있나요?
B: 네, 한 번요.","A: Has Michelle ever been to Australia?
B: Yes, once."
현재완료,8,"A: 골프 쳐본 적 있어요?
B: 네, 자주 쳐요.","A: Have you ever played golf?
B: Yes, I play a lot."
현재완료,9,제 여동생은 비행기를 타고 여행해 본 적이 없어요.,My sister has never traveled by plane.
현재완료,10,말을 타본 적이 한 번도 없어요.,I've never ridden a horse.
Used to,1,"내가 어렸을 때, 나는 초콜릿을 좋아하곤 했어요.","When I was a child, I used to like chocolate."
Used to,2,"나는 예전에 책을 많이 읽었어요, 하지만 요즘은 많이 읽지 않아요.","I used to read a lot of books, but I don't read much these days."
Used to,3,리즈는 지금 머리가 짧아요. 하지만 예전에 아주 길었어요.,"Liz has short hair now, but it used to be very long."
Used to,4,그들은 예전에 우리와 같은 거리에 살았어요. 자주 만났는데 지금은 많이 보지 않아요.,"They used to live on the same street as us, so we met a lot. But we don't see much of each other anymore."
Used to,5,"앨리슨은 예전에 피아노가 있었어요, 하지만 몇 년 전에 팔았어요.","Allison used to have a piano, but she sold it a few years ago."
Used to,6,"나는 예전에 토마토를 좋아하지 않았어요, 하지만 지금은 좋아해요.","I didn't use to like tomatoes, but I like them now."
Used to,7,여기 오기 전에 어디 살았어요?,Where did you use to live before you came here?
수동태,1,버터는 우유로 만들어요.,Butter is made from milk.
수동태,2,오렌지는 캐나다로 수입됩니다.,Oranges are imported into Canada.
수동태,3,이 집은 100년 전에 지어졌습니다.,This house was built 100 years ago.
수동태,4,이 방들은 얼마나 자주 청소하나요?,How often are these rooms cleaned?
수동태,5,난 파티에 한 번도 초대받지 않아!,I am never invited to parties.
수동태,6,전화기는 언제 발명되었나요?,When was the telephone invented?
수동태,7,저희는 지난주 파티에 초대받지 못했어요.,We weren't invited to the party last week.
수동태,8,저는 1995년 콜롬비아에서 태어났습니다.,I was born in Colombia in 1995.
수동태,9,"A: 그 사고로 다친 사람이 있나요?
B: 네, 두 명이 병원으로 이송되었습니다.","A: Was anybody injured in the accident?
B: Yes, two people were taken to the hospital."
수동태,10,"A: 어디서 태어나셨어요?
B: 카이로요.","A: Where were you born?
B: In Cairo."
미래시제 (be+ing),1,오늘 밤에는 나가지 않고 집에 있을 거예요.,I'm not going out tonight. I'm staying home.
미래시제 (be+ing),2,소피는 금요일에 치과에 갈 예정입니다.,Sophie is going to the dentist on Friday.
미래시제 (be+ing),3,우리는 다음 주말에 파티를 할 거예요.,We're having a party next weekend.
미래시제 (be+ing),4,오늘 밤에 친구들을 만나나요?,Are you meeting your friends tonight?
미래시제 (be+ing),5,내일 밤에 무엇을 할 건가요?,What are you doing tomorrow night?
미래시제 (be going to),1,저는 내일 책을 좀 살 거예요.,I'm going to buy some books tomorrow.
미래시제 (be going to),2,세라는 차를 팔 예정입니다.,Sarah is going to sell her car.
미래시제 (be going to),3,오늘 아침은 안 먹을 거예요. 배가 고프지 않거든요.,I'm not going to have breakfast this morning. I'm not hungry.
미래시제 (be going to),4,다음 주 결혼식에 뭐 입고 갈 거예요?,What are you going to wear to the wedding next week?
미래시제 (be going to),5,"A: 손이 더럽네.
B: 응, 알아. 씻으려고.","A: Your hands are dirty.
B: Yes, I know. I'm going to wash them."
미래시제 (be going to),6,매트를 파티에 초대할 건가요?,Are you going to invite Matt to your party?
미래시제 (will),1,"A: 제 가방이 무거워요.
B: 제가 들어 드릴게요.","A: My suitcase is heavy.
B: I'll carry it for you."
미래시제 (will),2,"A: 내일 전화할게. 알겠지?
B: 응, 잘가!","A: I'll call you tomorrow. OK?
B: OK, bye."
미래시제 (will),3,"저녁으로 뭘 먹을지 못 정하겠어. 아, 알았다! 스파게티 만들어야지.",I can't decide what to have for dinner. I know! I'll make spaghetti.
미래시제 (will),4,"수는 여행을 많이 다녀요. 오늘은 로스앤젤레스에 있고, 내일은 멕시코시티에 있을 거예요. 다음 주에는 뉴욕에 있을 거고요.",Sue travels a lot. Today she is in Los Angeles. Tomorrow she'll be in Mexico City. Next week she'll be in New York.
미래시제 (will),5,오래된 빵은 마당에 두세요. 새들이 먹을 거예요.,Leave the old bread in the yard. The birds will eat it.
미래시제 (will),6,우리 오늘 밤에 아마 외출할 것 같아요.,We'll probably go out tonight.
미래시제 (will),7,오늘 오후에 비가 올 것 같지 않아요.,I don't think it will rain this afternoon.
미래시제 (will),8,내일 아침에 집에 있을 거예요?,Will you be home tomorrow morning?
미래시제 (will),9,내일은 여기 없을 거예요.,I won't be here tomorrow.
미래시제 (will),10,자기 전에 커피 마시지 마세요. 잠이 잘 안 올 거예요.,Don't drink coffee before you go to bed. You won't sleep well.
조동사 (might / may),1,"오늘 밤에 영화 보러 갈 수도 있어, 근데 아직 모르겠어.","I might go to the movies tonight, but I'm not sure."
조동사 (might / may),2,우산 챙겨가. 비가 올 수도 있어.,Take an umbrella with you. It might rain.
조동사 (might / may),3,복권을 사봐. 운이 좋을 수도 있잖아.,Buy a lottery ticket. You might be lucky.
조동사 (might / may),4,"A: 오늘 밤에 나갈 거야?
B: 아마도.","A: Are you going out tonight?
B: I might."
조동사 (might / may),5,"A: 레베카가 언제 전화할 거예요?
B: 모르겠어요. 오늘 오후에 전화할 수도 있어요.","A: When is Rebecca going to call you?
B: I don't know. She might call this afternoon."
조동사 (might / may),6,나 내일 출근 안 할 수도 있어.,I might not go to work tomorrow.
조동사 (might / may),7,수가 파티에 안 올 수도 있어.,Sue might not come to the party.
조동사 (might / may),8,나 오늘 밤에 영화 보러 갈 수도 있어.,I may go to the movies tonight.
조동사 (might / may),9,수가 파티에 안 올 수도 있어.,Sue may not come to the party.
조동사 (might / may),10,질문 하나 해도 될까요?,May I ask a question?
조동사 (might / may),11,"""여기 앉아도 될까요?"" ""네, 그럼요.""","""May I sit here?"" ""Sure."""
조동사 (can / could),1,나 피아노 칠 줄 알아. 내 남동생도 피아노 칠 줄 알아.,"I can play the piano. My brother can play the piano, too."
조동사 (can / could),2,"사라는 이탈리아어를 할 줄 알지만, 스페인어는 못해.","Sarah can speak Italian, but she can't speak Spanish."
조동사 (can / could),3,"A: 수영할 줄 알아?
B: 응, 근데 수영을 엄청 잘하지는 않아.","A: Can you swim?
B: Yes, but I'm not a very good swimmer."
조동사 (can / could),4,"A: 20달러짜리 바꿔줄 수 있어요?
B: 죄송해요, 안 되겠어요.","A: Can you change a twenty-dollar bill?
B: I'm sorry, I can't."
조동사 (can / could),5,"다음 주에 파티를 열 건데, 에릭이랑 레이첼은 못 온대.","I'm having a party next week, but Eric and Rachel can't come."
조동사 (can / could),6,나 어렸을 때 정말 빠르게 달릴 수 있었어.,"When I was young, I could run very fast."
조동사 (can / could),7,마리아가 미국에 오기 전에는 영어를 잘 이해하지 못했어. 지금은 다 이해해.,"Before Maria came to the United States, she couldn't understand much English. Now she can understand everything."
조동사 (can / could),8,어젯밤에 피곤했는데 잠을 잘 수가 없었어.,"I was tired last night, but I couldn't sleep."
조동사 (can / could),9,"지난주에 파티를 열었는데, 에릭이랑 레이첼이 못 왔어.","I had a party last week, but Eric and Rachel couldn't come."
조동사 (can / could),10,문 좀 열어줄 수 있어요? / 문 좀 열어주시겠어요?,"Can you open the door, please? / Could you open the door, please?"
조동사 (can / could),11,잠깐만 기다려줄 수 있어요? / 잠깐 기다려주시겠어요?,"Can you wait a minute, please? / Could you wait a minute, please?"
조동사 (can / could),12,물 한 잔 줄 수 있어요? / 물 한 잔 주시겠어요?,"Can I have a glass of water, please? / Could I have a glass of water, please?"
조동사 (can / could),13,여기 앉아도 될까요?,Can I sit here?
조동사 (can / could),14,"톰, 우산 빌려도 될까요?","Tom, could I borrow your umbrella?"
